stkcod,stkdes,docdat,loccod,trnqty               ,tqucod, unitpr                 ,trnbal,newbal,
A-201     -,ถุงเท้าK503,31/3/2015,01 ,-960,คู่,,0,,
A-202     -,ถุงเท้าK504,31/3/2015,01 ,-1014,คู่,,0,,
A-203     -,ถุงเท้าK505,31/3/2015,01 ,-500,คู่,,0,,
A-207     -,ถุงเท้าS305,31/3/2015,01 ,-13780,คู่,,0,,
A-208     -,ถุงเท้าS306,31/3/2015,01 ,-832,คู่,,0,,
A-213     -,BJ001-กระเป๋า,31/3/2015,01 ,-338,คู่,,0,,
A-214     -,BJ002-กระเป๋า,31/3/2015,01 ,-710,คู่,,0,,
A-217     -,กระเป๋า BAOJI,31/3/2015,01 ,346,ใบ, 400.00 ,138400,,
A-218     -,ถุงเท้า BAOJI [หญิง],31/3/2015,01 ,168,แพ็ค, 250.00 ,42000,,
A-219     -,ถุงเท้า BAOJI [ชาย],31/3/2015,01 ,192,แพ็ค, 250.00 ,48000,,
U-BB31-505-1215,BINSIN-B31-505-ดำแดง[BLACK/RED],31/3/2015,01 ,288,คู่, 125.00 ,36000,,
U-BB31-505-1221,BINSIN-B31-505-ดำเหลือง[BLACK/YELLOW],31/3/2015,01 ,216,คู่, 125.00 ,27000,,
U-BB31-505-1226,BINSIN-B31-505-ดำเขียว[BLACK/GREEN],31/3/2015,01 ,528,คู่, 125.00 ,66000,,
U-BB31-507-1221,BINSIN-B31-507-ดำเหลือง[BLACK/YELLOW],31/3/2015,01 ,648,คู่, 125.00 ,81000,,
U-BB31-507-1224,BINSIN-B31-507-ดำส้ม[BLACK/ORANGE],31/3/2015,01 ,576,คู่, 125.00 ,72000,,
U-BB31-507-1231,BINSIN-B31-507-ดำบานเย็น[BLACK/ROSE],31/3/2015,01 ,672,คู่, 125.00 ,84000,,
U-BB31-516-1231,BINSIN-B31-516-ดำบานเย็น[BLACK/ROSE],31/3/2015,01 ,384,คู่, 67.71 ,26000.44,,
U-BB31-516-1824,BINSIN-B31-516-กรมส้ม[NAVY/ORANGE],31/3/2015,01 ,336,คู่, 69.15 ,23234.31,,
U-BB31-516-2326,BINSIN-B31-516-เทาเขียว[GREY/GREEN],31/3/2015,01 ,360,คู่, 67.71 ,24375.41,,
U-BB31-516-2519,BINSIN-B31-516-ชมพูฟ้า[PINK/LT.BLUE],31/3/2015,01 ,576,คู่, 67.32 ,38776.77,,
U-BB31-518-1800,BINSIN-B31-518-กรม[NAVY],31/3/2015,01 ,72,คู่, 135.00 ,9720,,
